Epoch [1/5000], Loss: 252.1075
Epoch [51/5000], Loss: 134.7500
Epoch [101/5000], Loss: 92.9748
Epoch [151/5000], Loss: 106.3042
Epoch [201/5000], Loss: 115.9501
Epoch [251/5000], Loss: 114.7407
Epoch [301/5000], Loss: 111.4400
Epoch [351/5000], Loss: 99.8897
Epoch [401/5000], Loss: 102.5590
Epoch [451/5000], Loss: 105.9876
Epoch [501/5000], Loss: 113.7070
Epoch [551/5000], Loss: 111.4530
Epoch [601/5000], Loss: 116.6304
Epoch [651/5000], Loss: 119.7720
Epoch [701/5000], Loss: 121.7050
Epoch [751/5000], Loss: 124.2067
Epoch [801/5000], Loss: 125.0076
Epoch [851/5000], Loss: 123.5882
Epoch [901/5000], Loss: 131.6364
Epoch [951/5000], Loss: 127.1321
Epoch [1001/5000], Loss: 129.5744
Epoch [1051/5000], Loss: 132.2119
Epoch [1101/5000], Loss: 131.7802
Epoch [1151/5000], Loss: 135.0595
Epoch [1201/5000], Loss: 141.1463
Epoch [1251/5000], Loss: 143.3124
Epoch [1301/5000], Loss: 134.9761
Epoch [1351/5000], Loss: 138.0285
Epoch [1401/5000], Loss: 139.0576
Epoch [1451/5000], Loss: 137.6713
Epoch [1501/5000], Loss: 137.2045
Epoch [1551/5000], Loss: 141.1928
Epoch [1601/5000], Loss: 126.7943
Epoch [1651/5000], Loss: 123.9553
Epoch [1701/5000], Loss: 123.0130
Epoch [1751/5000], Loss: 126.6336
Epoch [1801/5000], Loss: 123.6224
Epoch [1851/5000], Loss: 122.9994
Epoch [1901/5000], Loss: 127.5901
Epoch [1951/5000], Loss: 126.5223
Epoch [2001/5000], Loss: 122.9871
Epoch [2051/5000], Loss: 124.5830
Epoch [2101/5000], Loss: 123.8362
Epoch [2151/5000], Loss: 145.2523
Epoch [2201/5000], Loss: 146.7656
Epoch [2251/5000], Loss: 143.8097
Epoch [2301/5000], Loss: 138.0665
Epoch [2351/5000], Loss: 139.2471
Epoch [2401/5000], Loss: 146.1794
Epoch [2451/5000], Loss: 145.1240
Epoch [2501/5000], Loss: 145.8210
Epoch [2551/5000], Loss: 144.0695
Epoch [2601/5000], Loss: 143.7702
Epoch [2651/5000], Loss: 144.9207
Epoch [2701/5000], Loss: 153.5949
Epoch [2751/5000], Loss: 142.1930
Epoch [2801/5000], Loss: 144.5384
Epoch [2851/5000], Loss: 147.4926
Epoch [2901/5000], Loss: 146.4633
Epoch [2951/5000], Loss: 145.2316
Epoch [3001/5000], Loss: 147.7265
Epoch [3051/5000], Loss: 145.6957
Epoch [3101/5000], Loss: 148.3338
Epoch [3151/5000], Loss: 144.2427
Epoch [3201/5000], Loss: 141.6731
Epoch [3251/5000], Loss: 146.2447
Epoch [3301/5000], Loss: 146.3789
Epoch [3351/5000], Loss: 147.3933
Epoch [3401/5000], Loss: 147.5634
Epoch [3451/5000], Loss: 146.0431
Epoch [3501/5000], Loss: 147.8066
Epoch [3551/5000], Loss: 144.7012
Epoch [3601/5000], Loss: 148.0303
Epoch [3651/5000], Loss: 145.2209
Epoch [3701/5000], Loss: 146.8794
Epoch [3751/5000], Loss: 147.2207
Epoch [3801/5000], Loss: 147.8365
Epoch [3851/5000], Loss: 148.0251
Epoch [3901/5000], Loss: 146.7321
Epoch [3951/5000], Loss: 146.0994
Epoch [4001/5000], Loss: 148.6368
Epoch [4051/5000], Loss: 146.0477
Epoch [4101/5000], Loss: 145.3973
Epoch [4151/5000], Loss: 148.8740
Epoch [4201/5000], Loss: 147.1742
Epoch [4251/5000], Loss: 148.3091
Epoch [4301/5000], Loss: 148.3221
Epoch [4351/5000], Loss: 149.4609
Epoch [4401/5000], Loss: 147.0300
Epoch [4451/5000], Loss: 147.5153
Epoch [4501/5000], Loss: 147.4883
Epoch [4551/5000], Loss: 147.3600
Epoch [4601/5000], Loss: 148.5496
Epoch [4651/5000], Loss: 147.0579
Epoch [4701/5000], Loss: 147.0537
Epoch [4751/5000], Loss: 147.4232
Epoch [4801/5000], Loss: 147.9274
Epoch [4851/5000], Loss: 148.8085
Epoch [4901/5000], Loss: 147.5159
Epoch [4951/5000], Loss: 146.6553
Epoch [1/10000], Loss: 147.6022
Epoch [501/10000], Loss: 148.0692
Epoch [1001/10000], Loss: 148.0965
Epoch [1501/10000], Loss: 147.5380
Epoch [2001/10000], Loss: 151.4223
Epoch [2501/10000], Loss: 150.4365
Epoch [3001/10000], Loss: 148.0862
Epoch [3501/10000], Loss: 149.8729
Epoch [4001/10000], Loss: 149.2849
Epoch [4501/10000], Loss: 148.1481
Epoch [5001/10000], Loss: 146.4736
Epoch [5501/10000], Loss: 148.8405
Epoch [6001/10000], Loss: 145.4256
Epoch [6501/10000], Loss: 146.2459
Epoch [7001/10000], Loss: 147.4386
Epoch [7501/10000], Loss: 150.1857
Epoch [8001/10000], Loss: 144.6297
Epoch [1/10000], Loss: 252.1192
Epoch [501/10000], Loss: 113.9073
Epoch [1001/10000], Loss: 142.9352
Epoch [1501/10000], Loss: 125.3523
Epoch [2001/10000], Loss: 122.7146
Epoch [2501/10000], Loss: 142.6945
Epoch [3001/10000], Loss: 143.2058
Epoch [3501/10000], Loss: 146.3836
Epoch [4001/10000], Loss: 148.6349
Epoch [4501/10000], Loss: 147.9566
Epoch [5001/10000], Loss: 147.7849
Epoch [5501/10000], Loss: 147.0779
Epoch [6001/10000], Loss: 148.7761
Epoch [6501/10000], Loss: 148.2895
